feature
age
education_level
avg_sleep_hours
screen_time_hours
social_media_hours
study_hours_per_day
exercise_hours_per_week
caffeine_drinks_per_day
stress_level
anxiety_score
uses_sleep_app
gender_Male
gender_Non-binary
gender_Prefer not to say
